skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
23,fresher,easy,What is the purpose of the urls.py file?,Store database credentials,Define model fields,Map URL patterns to views,Configure middleware,3
23,fresher,easy,Which command starts the Django development server?,django-admin start,python manage.py runserver,python manage.py run,python start_django,2
23,fresher,easy,What does the {% block %} tag do in Django templates?,Creates a Python loop,Imports a CSS file,Comments out code,Defines a section for child templates to override,4
23,fresher,easy,Which method is used to retrieve a single object by its primary key?,filter(),all(),get(),select(),3
23,fresher,medium,How do you pass data from a view to a template?,Via a dictionary called context,Via the request object,By importing the template,Through settings.py,1
23,fresher,medium,What is the purpose of migrations in Django?,To move code to GitHub,To backup user passwords,To speed up HTML rendering,To propagate model changes into the database schema,4
23,fresher,medium,Which field type should be used to store long-form text?,CharField,LongField,TextField,StringField,3
23,fresher,medium,How do you register a model to appear in the Django Admin?,In admin.py using admin.site.register(),In settings.py under ADMIN_MODELS,In models.py using @admin_view,It happens automatically,1
23,fresher,hard,What is the result of User.objects.filter(id=1).first() if no user exists?,Throws DoesNotExist error,Returns an empty list,Returns None,Throws 404 error,3
23,fresher,hard,Which attribute in a Model class defines the database table name?,table_name,db_table,managed,meta_name,2
23,junior,easy,Which command is used to create an administrative superuser?,python manage.py admin,django-admin adduser,python manage.py createsuperuser,python manage.py make_admin,3
23,junior,easy,What does the redirect() function return?,A string,A rendered HTML page,An HttpResponseRedirect object,A JSON object,3
23,junior,easy,How do you include another URLconf in your main urls.py?,import(),include(),use(),path_add(),2
23,junior,medium,What is the purpose of 'self' in a Django model method?,Refers to the Model class,Refers to the database connection,Refers to the specific instance of the model,Refers to the request object,3
23,junior,medium,How do you filter a QuerySet to find titles containing 'Django' (case-insensitive)?,filter(title__contains='Django'),filter(title='*Django*'),filter(title__search='Django'),filter(title__icontains='Django'),4
23,junior,medium,Which setting determines where uploaded files are stored?,STATIC_ROOT,UPLOAD_PATH,MEDIA_ROOT,FILE_STORE,3
23,junior,medium,What is the function of the login_required decorator?,Redirects unauthenticated users to login,Checks if database is up,Encrypts the password,Logs the IP address,1
23,junior,hard,How do you handle a form submission that includes an image?,Check request.POST only,Check request.FILES and request.POST,Use request.IMAGES,Use request.DATA,2
23,junior,hard,What does 'on_delete=models.CASCADE' do?,Prevents deletion of the parent,Sets the foreign key to null,Deletes the entire database,Deletes the child when the parent is deleted,4
23,junior,hard,How do you exclude certain records from a QuerySet?,Query.objects.not(),Query.objects.remove(),Query.objects.exclude(),Query.objects.filter_out(),3
23,mid,easy,What is Django Middleware?,A framework of hooks into request/response processing,A database plugin,A type of model field,A frontend library,1
23,mid,easy,Which command compiles translation files?,makemessages,translate_build,compilemessages,gettext_compile,3
