skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
1,fresher,easy,What keyword defines a function in Python?,def,func,define,lambda,1
1,fresher,easy,Which data type is immutable?,list,tuple,set,dictionary,2
1,fresher,easy,What does len() return?,type,memory,length,index,3
1,fresher,easy,Which symbol is used for comments?,//,%,/*,#,4
1,fresher,easy,Which function prints output?,print,display,echo,write,1
1,fresher,easy,Which type stores decimal numbers?,int,float,str,bool,2
1,fresher,easy,Which keyword returns value?,exit,break,return,pass,3
1,fresher,easy,Which operator checks equality?,=,!=,==,<>,3
1,fresher,easy,Which structure stores key value pairs?,list,dictionary,tuple,set,2
1,fresher,easy,Which loop is used for iteration?,for,loop,iterate,repeat,1
1,fresher,medium,What is list comprehension?,sorting method,loop shortcut,class type,file method,2
1,fresher,medium,Which keyword handles exceptions?,catch,error,try,handle,3
1,fresher,medium,What does isinstance do?,check value,check type,check size,check memory,2
1,fresher,medium,Which method adds item to list?,add,insert,append,push,3
1,fresher,medium,Which function takes input?,read,scan,get,input,4
1,fresher,medium,Which keyword skips iteration?,skip,next,continue,pass,3
1,fresher,medium,Which method removes last item?,pop,remove,delete,clear,1
1,fresher,medium,Which function returns max value?,top,max,high,largest,2
1,fresher,medium,Which keyword imports module?,include,using,import,require,3
1,fresher,medium,What is tuple?,immutable sequence,mutable list,key value,loop,1
1,fresher,hard,What is bytecode?,intermediate code,machine code,assembly code,source code,1
1,fresher,hard,What is garbage collection?,allocation,deallocation,error,file,2
1,fresher,hard,What is __init__?,destructor,constructor,loop,operator,2
1,fresher,hard,What is lambda?,named function,class,loop,anonymous function,4
1,fresher,hard,What is recursion?,loop,class,function calling itself,error,3
1,junior,easy,What is a list?,unordered,ordered collection,set,tuple,2
1,junior,easy,Which type is mutable?,tuple,str,int,list,4
1,junior,easy,What does print do?,input,store,output,delete,3
1,junior,easy,Which keyword creates class?,object,class,struct,define,2
1,junior,easy,Which operator multiplies?,+,*, -,/,2
1,junior,easy,Which keyword defines loop?,loop,iterate,for,run,3
1,junior,easy,Which keyword ends loop?,stop,end,exit,break,4
1,junior,easy,Which type stores text?,int,float,str,bool,3
1,junior,easy,Which function converts to int?,str,float,int,bool,3
1,junior,easy,Which keyword for condition?,when,if,check,case,2
1,junior,medium,What is dictionary?,list type,key value store,set type,class,2
1,junior,medium,What does keys return?,values,items,keys,all,3
1,junior,medium,What is set?,unique values,ordered list,string type,class,1
1,junior,medium,Which keyword handles errors?,catch,handle,try,fix,3
1,junior,medium,Which loop runs until condition?,for,while,loop,repeat,2
1,junior,medium,What is function?,variable,class,block of code,module,3
1,junior,medium,Which keyword returns value?,output,return,end,give,2
1,junior,medium,Which function sorts list?,order,arrange,sort,align,3
