skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct,
2,fresher,easy,Which keyword defines a class in Java?,object,class,define,struct,2,
2,fresher,easy,Which method is entry point of Java?,run,main,start,init,2,
2,fresher,easy,Which keyword creates object?,init,create,new,make,3,
2,fresher,easy,Which symbol ends statement?,!,;,:,.,2,
2,fresher,easy,Which type stores integer?,float,int,double,char,2,
2,fresher,easy,Which type stores decimal?,int,boolean,float,char,3,
2,fresher,easy,Which keyword is used for condition?,check,if,case,when,2,
2,fresher,easy,Which keyword stops loop?,end,break,stop,exit,2,
2,fresher,easy,Which keyword skips loop iteration?,continue,skip,pass,break,1,
2,fresher,easy,Which keyword returns value?,return,end,stop,exit,1,
2,fresher,medium,What is output of System.out.println(5+2);,7,52,error,none,1,
2,fresher,medium,What is output of System.out.println(10/3);,3,error,3,3.33,3,
2,fresher,medium,What is output of System.out.println(10%3);,0,1,2,3,2,
2,fresher,medium,What is output of System.out.println(true && false);,FALSE,none,TRUE,error,1,
2,fresher,medium,What is output of System.out.println(5>3);,TRUE,FALSE,error,none,1,
2,fresher,medium,What is output of int a=5; System.out.println(a);,6,5,error,4,2,
2,fresher,medium,What is output of int a=5; a++; System.out.println(a);,5,4,6,error,3,
2,fresher,medium,What is output of int a=5; System.out.println(a++);,6,5,4,error,2,
2,fresher,medium,What is output of int a=5; System.out.println(++a);,5,6,4,error,2,
2,fresher,medium,What is output of System.out.println(2+3*4);,10,24,14,20,3,
2,fresher,hard,What is JVM?,compiler,interpreter,runtime engine,editor,3,
2,fresher,hard,What is JDK?,development kit,data kit,debug kit,design kit,1,
2,fresher,hard,What is JRE?,run engine,runtime environment,resource engine,read environment,2,
2,fresher,hard,What is bytecode?,source code,assembly code,intermediate code,machine code,3,
2,fresher,hard,What is class?,data type,blueprint,loop,object,2,
2,fresher,hard,What is object?,instance,data type,loop,blueprint,1,
2,fresher,hard,What is encapsulation?,data showing,data hiding,data sorting,data looping,2,
2,fresher,hard,What is inheritance?,delete code,reuse code,sort code,loop code,2,
2,fresher,hard,What is polymorphism?,many forms,one form,loop form,no form,1,
2,fresher,hard,What is abstraction?,hide details,data details,loop details,show details,1,
2,junior,easy,Which collection stores unique elements?,Map,Set,Queue,List,2,
2,junior,easy,Which collection allows duplicates?,Queue,List,Set,Map,2,
2,junior,easy,Which class implements List?,HashMap,ArrayList,TreeMap,HashSet,2,
2,junior,easy,Which class implements Set?,ArrayList,HashSet,Vector,LinkedList,2,
2,junior,easy,Which method starts thread?,run,init,start,execute,3,
2,junior,easy,Which keyword is used for thread safety?,sync,synchronized,lock,threadsafe,2,
2,junior,easy,Which keyword defines interface?,class,struct,interface,define,3,
2,junior,easy,Which keyword defines abstract class?,interface,class,abstract,define,3,
2,junior,easy,Which package handles input output?,java.lang,java.util,java.io,java.net,3,
2,junior,easy,Which class reads console input?,Reader,Scanner,Writer,InputStream,2,
2,junior,medium,What is output of System.out.println((2+3)*4);,14,24,20,10,3,
2,junior,medium,"What is output of System.out.println(3+4+""hello"");",hello7,7hello,error,34hello,2,
2,junior,medium,"What is output of System.out.println(""hello""+3+4);",hello7,34hello,error,hello34,4,
2,junior,medium,What is output of int x=10; x+=5; System.out.println(x);,5,15,error,10,2,
2,junior,medium,What is output of int x=10; x*=2; System.out.println(x);,10,20,error,2,2,
2,junior,medium,What happens if divide by zero?,runtime exception,none,compile error,ignored,1,
2,junior,medium,What happens if array index invalid?,runtime exception,compile error,none,ignored,1,
2,junior,medium,What is ArrayList?,dynamic array,map,set,fixed array,1,
2,junior,medium,What is HashMap?,queue,set,key value store,list,3,
2,junior,medium,What is Iterator?,delete data,traverse collection,sort data,loop data,2,
2,junior,hard,What is thread lifecycle?,new runnable blocked terminated,none,end loop data,create run stop,1,
2,junior,hard,What is deadlock?,threads stopped,threads waiting,threads running,threads created,2,
2,junior,hard,What is race condition?,file conflict,class conflict,shared data conflict,loop conflict,3,
2,junior,hard,What is serialization?,file write,object to byte,file read,byte to object,2,
2,junior,hard,What is deserialization?,object to byte,file write,byte to object,file read,3,
2,mid,medium,What is output of for(int i=0;i<3;i++) System.out.print(i);,123,12,321,error,2,
2,mid,medium,What is output of for(int i=3;i>0;i--) System.out.print(i);,321,12,123,error,1,
2,mid,medium,"What is output of String s=""hello""; System.out.println(s.length());",6,5,error,4,2,
2,mid,medium,"What is output of String s=""hello""; System.out.println(s.charAt(1));",l,e,h,o,2,
2,mid,medium,"What is output of Math.max(10,20);",20,10,error,none,1,
2,mid,medium,"What is output of Math.min(10,20);",20,10,error,none,2,
2,mid,medium,"What is output of Math.pow(2,3);",9,8,6,5,2,
2,mid,medium,What is Callable?,task without return,thread class,task with return,data class,3,
2,mid,medium,What is Future?,data holder,result holder,file holder,thread holder,2,
2,mid,medium,What is thread pool?,loop threads,data threads,group of threads,file threads,3,
2,senior,hard,What is G1 GC?,loop collector,garbage first collector,data collector,file collector,2,
2,senior,hard,What is memory leak?,objects deleted,memory freed,unused objects retained,file error,3,
2,senior,hard,What is JDBC?,file API,database API,data API,loop API,2,
2,senior,hard,What is connection pooling?,create connections,reuse connections,delete connections,loop connections,2,
2,senior,hard,What is prepared statement?,loop query,precompiled query,data query,compiled query,2,
2,senior,hard,What is transaction?,file operations,data operations,group operations,loop operations,3,
2,senior,hard,What is ACID?,data rules,file rules,transaction properties,loop rules,3,
2,senior,hard,What is ORM?,file mapping,data mapping,object mapping,loop mapping,3,
2,senior,hard,What is Hibernate?,file framework,data framework,ORM framework,loop framework,3,
2,senior,hard,What is dependency injection?,file injection,loop injection,inject dependencies,data injection,3,
