skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
28,fresher,easy,Which command is used to fetch data from a table?,SELECT,GET,EXTRACT,OPEN,1
28,fresher,easy,What does the keyword DISTINCT do?,Filters NULLs,Sorts data,Removes duplicates,Joins tables,3
28,fresher,easy,Which clause is used to filter records in a query?,WHERE,GROUP BY,ORDER BY,HAVING,1
28,fresher,easy,What is the default sort order of the ORDER BY clause?,DESC,RANDOM,INDEX,ASC,4
28,fresher,medium,How do you select all columns from a table named Users?,SELECT Users,SELECT all FROM Users,SELECT * FROM Users,SELECT columns FROM Users,3
28,fresher,medium,Which operator is used to search for a specified pattern in a column?,SEARCH,LIKE,IN,BETWEEN,2
28,fresher,medium,What is the result of SELECT 5 + NULL?,5,NULL,0,Error,2
28,fresher,medium,How do you find the total number of rows in a table?,TOTAL(),SUM(),ROWS(),COUNT(*),4
28,fresher,hard,Which join returns all rows from the left table even if no match in right?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,2
28,fresher,hard,How do you select records where the name starts with A?,LIKE '%A',LIKE '_A',LIKE 'A%',LIKE '[A]',3
28,junior,easy,What is a Primary Key?,A foreign reference,A unique identifier,A sorted index,A hidden column,2
28,junior,easy,Which function is used to find the highest value in a column?,TOP(),MAX(),HIGH(),UPPER(),2
28,junior,easy,How do you delete all data from a table without deleting the table structure?,TRUNCATE TABLE,DELETE TABLE,DROP TABLE,REMOVE TABLE,1
28,junior,medium,What is the difference between WHERE and HAVING?,No difference,HAVING is faster,WHERE filters rows HAVING filters groups,WHERE is for Joins,3
28,junior,medium,Which constraint ensures that a column cannot have a NULL value?,UNIQUE,CHECK,NOT NULL,DEFAULT,3
28,junior,medium,How do you join two tables on a common column?,LINK BY,ATTACH,JOIN ON,COMBINE,3
28,junior,medium,What does the UNION operator do?,Combines result sets of two SELECTs,Joins columns,Multiplies data,Groups data,1
28,junior,hard,What is a Foreign Key?,A key used for encryption,A secondary index,A unique constraint,A link between two tables,4
28,junior,hard,Which SQL statement is used to add a new column to a table?,UPDATE TABLE,CHANGE TABLE,ALTER TABLE,MODIFY TABLE,3
28,junior,hard,What is an Index used for?,To store data,To encrypt data,To speed up data retrieval,To delete duplicates,3
28,mid,easy,What is the purpose of the GROUP BY clause?,To arrange identical data into groups,To sort data,To filter NULLs,To join tables,1
28,mid,easy,Which command is used to change existing data in a table?,CHANGE,UPDATE,MODIFY,REPLACE,2
28,mid,medium,What is the difference between INNER JOIN and OUTER JOIN?,Outer returns matches only,No difference,Inner is slower,Inner returns matches only,4
28,mid,medium,How do you find the second highest salary?,Subquery with MAX,LIMIT 1 OFFSET 1,Top 2,Both 1 and 2,4
28,mid,medium,What is a View in SQL?,A virtual table,A physical table,A CSS property,A database backup,1
28,mid,medium,Which function returns the current date and time?,GETDATE(),NOW(),CURRENT_TIMESTAMP,All of the above,4
28,mid,hard,What is a Stored Procedure?,A temporary table,A precompiled SQL code block,A log file,An index type,2
28,mid,hard,What is the purpose of a Database Trigger?,To stop queries,Automatic code execution on events,To backup data,To format HTML,2
28,mid,hard,How do you prevent SQL Injection?,String concatenation,Manual escaping,Using SELECT *,Parameterized queries,4
28,mid,hard,What is Database Normalization?,Deleting old data,Sorting records,Organizing data to reduce redundancy,Joining tables,3
28,senior,easy,What is a Transaction?,A single unit of work,A money transfer,A user login,A table row,1
28,senior,medium,What do ACID properties stand for?,Alpha Code Ion Data,Atomicity Consistency Isolation Durability,Access Control In Data,None,2
28,senior,medium,What is the difference between a Clustered and Non-Clustered index?,Non-Clustered is faster,No difference,Clustered defines physical order,Clustered is for text only,3
28,senior,medium,How do you handle deadlocks in a database?,Restart server,Retry logic or Isolation levels,Delete the data,Ignore them,2
28,senior,hard,What is a Window Function?,A function for Windows OS,Function performing calculation across rows,A GUI tool,A type of Join,2
28,senior,hard,What is the purpose of the EXPLAIN statement?,To show query execution plan,To comment code,To rename a table,To debug Python,1
28,senior,hard,What is the difference between RANK and DENSE_RANK?,Dense_rank skips numbers,Rank skips numbers after ties,No difference,Rank is for strings,2
28,senior,hard,What is Sharding?,Vertical partitioning,Deleting data,Horizontal partitioning of data,Encrypting data,3
28,senior,hard,What is a Common Table Expression (CTE)?,A backup file,A temporary result set using WITH,A permanent table,A type of index,2
28,senior,hard,What is the purpose of Database Replication?,Data deletion,Formatting data,None,Data availability and load balancing,4
28,senior,hard,How do you optimize a slow query?,Add more RAM,Restart the DB,Add indexes and check execution plan,Use more Joins,3
28,senior,hard,What is a Self Join?,A join between two DBs,A table joined with itself,A join without a key,None,2
28,senior,hard,What is the difference between DELETE and TRUNCATE?,Delete is DML and can be rolled back,Truncate is faster,Both 1 and 2,None,3
28,senior,hard,What is an Upsert?,Update and Sort,Upload and Set,Insert or Update if exists,None,3
28,senior,hard,What is the COALESCE function used for?,Joins strings,Returns first non-null value,Counts rows,Deletes NULLs,2
28,senior,hard,What is the purpose of Materialized Views?,To store query results physically,To hide columns,To sort data,None,1
28,senior,hard,How do you implement Pagination in SQL?,Using WHERE,Using GROUP BY,Using LIMIT and OFFSET,Using JOIN,3
28,senior,hard,What is a Composite Key?,A key for images,A primary key with multiple columns,A hidden key,None,2
28,senior,hard,What is Isolation Level?,Controls visibility of changes to others,Controls speed,Controls storage,None,1
28,senior,hard,What is the purpose of the CASE statement?,To store files,To rename tables,None,Conditional logic in queries,4
28,fresher,easy,Which clause is used to sort the result-set?,ORDER BY,SORT BY,ALIGN BY,GROUP BY,1
28,fresher,easy,Which SQL statement is used to insert new data into a database?,ADD RECORD,INSERT INTO,UPDATE,INSERT NEW,2
28,fresher,medium,How do you select all records where the City is NOT 'Berlin'?,SELECT * FROM Users WHERE City != 'Berlin',Both 1 and 2,SELECT * FROM Users WHERE City <> 'Berlin',SELECT * FROM Users WHERE City NOT 'Berlin',2
28,fresher,medium,What is the correct SQL to return all records from Users where the FirstName is 'Peter' and the LastName is 'Jackson'?,SELECT * FROM Users WHERE FirstName='Peter' OR LastName='Jackson',SELECT * FROM Users WHERE FirstName='Peter' AND LastName='Jackson',SELECT * FROM Users WHERE Name='Peter Jackson',None of these,2
28,fresher,hard,What is the purpose of the % wildcard in a LIKE operator?,Matches any single character,Matches only numbers,Matches zero or more characters,Matches only letters,3
28,fresher,hard,Which SQL keyword is used to change the name of a column in the result set?,ALIAS,AS,SET,NAME,2
28,junior,easy,What is the difference between a database and a table?,A table is a collection of databases,No difference,Database is for storage table is for display,A database is a collection of tables,4
28,junior,easy,Which constraint uniquely identifies each record in a table?,UNIQUE,FOREIGN KEY,PRIMARY KEY,CHECK,3
