skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
48,fresher,easy,What is the core part of the Linux operating system?,Shell,Kernel,Terminal,GUI,2
48,fresher,easy,Which command is used to list files in a directory?,dir,ls,list,show,2
48,fresher,easy,Which command tells you the current directory you are in?,whoami,pwd,whereami,path,2
48,fresher,easy,How do you create a new directory?,newdir,crdir,mkdir,md,3
48,fresher,medium,How do you create an empty file?,create,new,make,touch,4
48,fresher,medium,Which command is used to remove an empty directory?,rm,del,rmdir,erase,3
48,fresher,medium,What does the 'cd ..' command do?,Move to root,Delete directory,None,Move up one level,4
48,fresher,hard,Which command displays the content of a file?,read,cat,view,open,2
48,fresher,hard,How do you clear the terminal screen?,cls,clean,clear,reset,3
48,fresher,hard,What is the shortcut to stop a running process in terminal?,Ctrl+Z,Ctrl+X,Ctrl+P,Ctrl+C,4
48,junior,easy,Which command is used to change file permissions?,chown,chperm,chmod,chval,3
48,junior,easy,Who is the 'superuser' in Linux?,admin,boss,system,root,4
48,junior,medium,How do you search for a string inside a file?,find,search,grep,look,3
48,junior,medium,What does 'chmod 777' do?,Read only for all,Full access for everyone,No access,None,2
48,junior,medium,Which command is used to see running processes?,list-proc,top / ps,view-tasks,None,2
48,junior,hard,How do you redirect output to a file (overwriting)?,>>,|,>,<,3
48,junior,hard,How do you append output to an existing file?,>,|, <,>>,4
48,mid,easy,What is a 'Pipe' (|) used for?,Deleting files,Passing output to another command,Naming branches,None,2
48,mid,easy,Which command changes the owner of a file?,chmod,chuser,setowner,chown,4
48,mid,medium,How do you find the IP address of the machine?,netstat,ping,ifconfig / ip addr,route,3
48,mid,medium,What is 'Sudo'?,Delete a user,Sort a file,None,Run command as root,4
48,mid,medium,Which command shows disk usage of folders?,df,dd,du,ds,3
48,mid,hard,What is the purpose of the /etc directory?,System configuration files,User files,Temporary files,Binaries,1
48,mid,hard,How do you terminate a process by its ID?,stop <pid>,end <pid>,kill <pid>,halt <pid>,3
48,mid,hard,What is a 'Symbolic Link'?,A file copy,A pointer/shortcut to a file,A hidden file,None,2
48,senior,easy,Which directory contains system binaries?,/home,/bin,/tmp,/var,2
48,senior,medium,What is the 'Cron' service used for?,Managing users,Printing files,None,Scheduling tasks,4
48,senior,medium,What does 'SSH' stand for?,System Shell,Secure Shell,Standard Shell,None,2
48,senior,medium,How do you see the last 10 lines of a file?,head,end,tail,last,3
48,senior,hard,What is the 'Load Average' in Linux?,CPU utilization over time,RAM usage,Disk speed,None,1
48,senior,hard,What is an 'Inode'?,A file name,A type of link,Data structure storing file metadata,None,3
48,senior,hard,What is the difference between 'hard link' and 'soft link'?,Hard link points to inode Soft points to path,No difference,Soft is faster,None,1
48,senior,hard,What is 'Swap' space used for?,Storing logs,Virtual memory on disk,Temporary files,None,2
48,senior,hard,How do you check for open network ports?,ping,traceroute,None,netstat / ss,4
48,senior,hard,What is the 'Zombie' process?,A virus,A fast process,Process that finished but has entry in table,None,3
48,senior,hard,What is 'Kernel Panic'?,A user error,Critical system error/crash,A slow boot,None,2
48,senior,hard,What is 'Init' or 'Systemd'?,A logging tool,A shell,None,The first process (PID 1),4
48,senior,hard,How do you find all files larger than 100MB?,ls -large,find / -size +100M,search 100M,None,2
48,senior,hard,What is the 'PATH' environment variable?,A file route,A user name,List of directories for executables,None,3
48,senior,hard,What is 'Bash'?,A compiler,A text editor,None,A Unix shell and command language,4
48,senior,hard,What is 'Apt' or 'Yum'?,Text editors,Package managers,File systems,None,2
48,senior,hard,What is the '/proc' directory?,Storage for images,Backup folder,Virtual filesystem for kernel/process info,None,3
48,senior,hard,What is 'LVM'?,Logical Volume Management,Linux Virtual Machine,Link View Mode,None,1
48,senior,hard,How do you check the kernel version?,version,uname -a,kernel-info,None,2
48,senior,hard,What is 'Umask'?,A user mask,Default permissions for new files,A hidden file,None,2
48,senior,hard,What is 'Chroot'?,Changing the root directory for a process,Deleting root,Rebooting,None,1
48,senior,hard,What is 'RAID'?,A type of shell,Redundant Array of Independent Disks,A memory leak,None,2
48,senior,hard,How do you monitor log files in real-time?,cat,grep,tail -f,watch,3
48,senior,hard,What is 'SELinux'?,A Linux version,A shell,None,Security-Enhanced Linux (Access control),4
48,senior,hard,What is 'Journalctl' used for?,Editing files,Viewing systemd logs,Sorting data,None,2
48,fresher,easy,Which command is used to move or rename files?,rn,move,mv,ren,3
