skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
4,fresher,medium,What is output of cout << 5 + 2;,52,error,7,none,3
4,fresher,medium,What is output of cout << 10 / 3;,3.33,3,4,error,2
4,fresher,medium,What is output of cout << 10 % 3;,3,0,2,1,4
4,fresher,medium,What is output of cout << true && false;,1,error,0,none,3
4,fresher,medium,What is output of cout << 5 > 3;,0,error,none,1,4
4,fresher,hard,What is a constructor?,destroys object,copies object,initializes object,moves object,3
4,fresher,hard,What is a destructor?,initializes object,releases resources,copies object,moves object,2
4,fresher,hard,Which symbol starts destructor name?,!,~,#,%,2
4,fresher,hard,What is a copy constructor?,construct from int,construct from pointer,construct from same type,construct from file,3
4,fresher,hard,What is a move constructor?,copy resources,delete resources,transfer resources,hide resources,3
4,junior,medium,What is output of int x=5; cout << x++;,6,4,error,5,4
4,junior,medium,What is output of int x=5; cout << ++x;,6,5,4,error,1
4,junior,medium,What is output of cout << 2 + 3 * 4;,20,14,24,10,2
4,junior,medium,What is output of cout << (2 + 3) * 4;,14,24,20,10,3
4,junior,medium,"What is output of string s = ""hello""; cout << s.size();",4,error,6,5,4
4,junior,hard,What is reference?,copy of variable,alias to variable,new variable,temporary only,2
4,junior,hard,What is pointer?,stores value,stores type,stores class,stores address,4
4,junior,hard,What is nullptr?,zero integer,dangling pointer,null pointer literal,void pointer,3
4,junior,hard,What is dangling pointer?,pointer to invalid memory,pointer to null,pointer to int,pointer to class,1
4,junior,hard,What is memory leak?,freed memory reused,stack overflow,allocated memory not freed,compile error,3
4,mid,medium,"What is output of vector<int> v{1,2,3}; cout << v[1];",1,2,3,error,2
4,mid,medium,"What is output of string s = ""abc""; cout << s[0];",b,c,error,a,4
4,mid,medium,What is output of cout << sizeof(char);,2,1,4,8,2
4,mid,medium,What is output of cout << sizeof(int) >= 2;,0,error,none,1,4
4,mid,medium,What is output of bool x = false; cout << !x;,0,error,none,1,4
4,mid,hard,What is RAII?,random access iterator,resource tied to object lifetime,run after initialization,reference and array integration,2
4,mid,hard,Why use smart pointers?,faster syntax,avoid classes,automatic ownership management,replace references,3
4,mid,hard,What does unique_ptr represent?,shared ownership,exclusive ownership,raw pointer,null pointer,2
4,mid,hard,What does shared_ptr represent?,exclusive ownership,stack ownership,no ownership,shared ownership,4
4,mid,hard,What does weak_ptr avoid?,reference cycles,memory allocation,inheritance,templates,1
4,senior,medium,What is virtual function?,compile time constant,supports runtime polymorphism,template function,inline function,2
4,senior,medium,Why use virtual destructor in base class?,faster compile,smaller object,proper derived cleanup,no heap use,3
