skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
44,fresher,easy,What is Docker?,A virtual machine,A programming language,A containerization platform,A cloud provider,3
44,fresher,easy,What is a Docker Image?,A running instance,A read-only template for containers,A hardware driver,A text file,2
44,fresher,easy,Which command is used to list all running containers?,docker ls,docker images,docker run,docker ps,4
44,fresher,easy,What is the name of the file used to define a Docker image?,Configfile,Docker.config,Manifest,Dockerfile,4
44,fresher,medium,How do you start a container from an image named 'nginx'?,docker start nginx,docker build nginx,docker run nginx,docker up nginx,3
44,fresher,medium,Which command removes a stopped container?,docker rmi,docker delete,docker rm,docker stop,3
44,fresher,medium,What does the '-d' flag do in 'docker run'?,Deletes the container,Runs in detached mode (background),Defines a variable,Downloads the image,2
44,fresher,hard,What is Docker Hub?,A public registry for images,A local folder,A code editor,A hardware server,1
44,fresher,hard,How do you stop a running container?,docker stop <id>,docker kill <id>,Both 1 and 2,docker end,3
44,fresher,hard,Which command builds an image from a Dockerfile?,docker create,docker make,docker build,docker image new,3
44,junior,easy,How do you see the logs of a container?,docker show logs,docker logs <id>,docker cat,docker print,2
44,junior,easy,Which command lists all locally stored images?,docker ps,docker list,docker inventory,docker images,4
44,junior,medium,How do you map a host port 8080 to container port 80?,docker run -p 80:8080,docker run -p 8080:80,docker run -port 80,None,2
44,junior,medium,What is the purpose of the '.dockerignore' file?,Excludes files from the build context,Deletes files after build,Ignores runtime errors,None,1
44,junior,medium,How do you execute a command inside a running container?,docker exec -it <id> bash,docker run bash,docker enter,docker ssh,1
44,junior,hard,What is the difference between an Image and a Container?,No difference,Image is faster,Image is the blueprint Container is the instance,Container is the blueprint,3
44,junior,hard,Which Dockerfile instruction specifies the base image?,START,BASE,ROOT,FROM,4
44,mid,easy,What is 'Docker Compose'?,Tool for defining multi-container apps,A type of image,A networking driver,A backup tool,1
44,mid,easy,Which command starts services defined in a compose file?,docker-compose start,docker-compose run,docker-compose up,docker-compose build,3
44,mid,medium,What is a Docker Volume used for?,Persistent data storage,Speeding up builds,Network security,None,1
44,mid,medium,What is the difference between 'COPY' and 'ADD' in a Dockerfile?,COPY is faster,ADD can fetch remote URLs and extract tar files,No difference,ADD is only for metadata,2
44,mid,medium,How do you prune all unused Docker objects?,docker delete all,docker clean,docker remove unused,docker system prune,4
44,mid,hard,What is a 'Multi-stage build'?,Building on 2 servers,A build with 2 users,Using multiple FROM statements to optimize image size,None,3
44,mid,hard,Which instruction sets the working directory inside the container?,CD,DIR,WORKDIR,FOLDER,3
44,mid,hard,What is the purpose of 'EXPOSE' in a Dockerfile?,Documents which ports are intended to be open,Opens ports on the host,Sets an IP address,None,1
44,senior,easy,What is 'Docker Swarm'?,Native clustering for Docker,A third-party UI,A virus,A database,1
44,senior,medium,What are the three main types of Docker networks?,LAN WAN VPN,Bridge Host None,Public Private Hybrid,None,2
44,senior,medium,What is the 'Entrypoint' instruction used for?,Sets the user,Sets the version,None,Configures the container to run as an executable,4
44,senior,medium,How do you limit a container's CPU usage?,Only via host OS,docker limit cpu,None,#NAME?,4
44,senior,hard,What is the 'Overlay' network driver used for?,Communication between containers on different hosts,Local testing,Encrypted storage,None,1
44,senior,hard,What is a 'Docker Context'?,A way to manage multiple Docker environments,A log file,A build stage,None,1
44,senior,hard,What is the difference between 'CMD' and 'ENTRYPOINT'?,CMD can be overridden by CLI arguments,ENTRYPOINT cannot be overridden,Both 1 and 2,None,3
44,senior,hard,How do you see the low-level information of a Docker object?,docker view,docker info,docker inspect,docker show-all,3
44,senior,hard,What is 'Namespace' in Docker internals?,A naming convention,Provides isolation of resources (PID Net etc),A type of volume,None,2
44,senior,hard,What are 'Control Groups' (cgroups) used for?,Naming containers,Sorting images,None,Resource limiting and monitoring,4
44,senior,hard,What is 'Layer Caching'?,Reusing unchanged instructions to speed up builds,Storing logs,Caching website data,None,1
44,senior,hard,How do you create a custom Docker network?,docker net new,docker make network,docker network create,None,3
44,senior,hard,What is 'Docker Secret' used for?,Hashing passwords,Storing sensitive data in Swarm,Hiding images,None,2
44,senior,hard,What is the 'Dangling' image?,An image with no tag or relationship to a container,A corrupted image,A system image,None,1
44,senior,hard,How do you update a container with a new image without downtime?,Restarting the server,Deleting the old container,Rolling updates (Swarm/K8s),None,3
44,senior,hard,What is 'Bind Mount'?,Mounting a specific host path into a container,A virtual volume,A network bridge,None,1
44,senior,hard,What is the 'Docker Daemon'?,The background service managing Docker objects,The CLI tool,The user interface,None,1
44,senior,hard,Which instruction triggers once a child image is built from the current?,TRIGGER,ONBUILD,POSTBUILD,None,2
44,senior,hard,What is 'Tini' often used for in Docker?,A logging tool,A shell,None,As an init process to handle signals/zombies,4
44,senior,hard,How do you check Docker's disk usage?,docker size,docker system df,docker info,None,2
44,senior,hard,What is 'Container Orchestration'?,Managing lifecycle of containers at scale,Writing Dockerfiles,Naming containers,None,1
44,senior,hard,What is 'Docker Content Trust'?,Using digital signatures for image data,Encrypting volumes,Password protecting Docker Hub,None,1
44,senior,hard,What is 'Healthcheck' in a Dockerfile?,A virus scanner,Instruction to check if container is still working,A log checker,None,2
