skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
55,fresher,easy,Which HTTP method is commonly used to fetch data?,POST,GET,PUT,DELETE,2
55,fresher,easy,Which HTTP method is commonly used to create resource?,GET,PUT,PATCH,POST,4
55,fresher,easy,Which HTTP method fully updates resource?,GET,POST,PUT,DELETE,3
55,fresher,easy,Which HTTP method partially updates resource?,PUT,POST,GET,PATCH,4
55,fresher,easy,Which HTTP method removes resource?,GET,PUT,DELETE,POST,3
55,fresher,easy,Which status code means success?,404,200,500,401,2
55,fresher,easy,Which status code means resource created?,200,204,404,201,4
55,fresher,easy,Which status code means no content?,200,201,204,400,3
55,fresher,easy,Which status code means bad request?,401,400,403,404,2
55,fresher,easy,Which status code means unauthorized?,400,403,500,401,4
55,fresher,medium,Which status code means forbidden?,401,404,403,400,3
55,fresher,medium,Which status code means not found?,403,400,500,404,4
55,fresher,medium,Which status code means server error?,400,500,401,404,2
55,fresher,medium,Which format is most common in REST APIs?,XML only,CSV only,JSON,YAML only,3
55,fresher,medium,What does REST stand for?,Representational State Transfer,Remote State Transfer,Represent Data Service Tool,Resource State Trace,1
55,fresher,medium,What does stateless mean in REST?,server stores all sessions,server stores no client session state,client stores nothing,request has no headers,2
55,fresher,medium,Which header commonly sends auth token?,Accept,Authorization,Content-Length,Host,2
55,fresher,medium,Which header tells response format client accepts?,Authorization,Host,Accept,Location,3
55,fresher,medium,Which header tells body content type?,Accept,Authorization,Cache-Control,Content-Type,4
55,fresher,medium,Which response code is best for invalid input?,500,200,301,400,4
55,fresher,hard,Why is GET expected to be safe?,it always returns JSON,it should not change server state,it needs token,it is faster than POST,2
55,fresher,hard,Why is idempotent important?,response is always same size,it avoids auth,repeating request has same effect,it replaces validation,3
55,fresher,hard,Which methods are typically idempotent?,POST PATCH only,GET PUT DELETE,POST only,CONNECT only,2
55,fresher,hard,When should 201 be returned?,after login failure,after successful creation,after server crash,after resource delete,2
55,fresher,hard,When should 204 be returned?,resource not found,bad request only,auth failure only,success with no response body,4
55,junior,easy,Which code is best for validation error?,200,201,400,500,3
55,junior,easy,Which code is best when login token missing?,403,404,409,401,4
55,junior,easy,Which code is best when user lacks permission?,401,403,404,400,2
55,junior,easy,Which code is best for duplicate resource conflict?,200,204,409,500,3
55,junior,easy,Which code is best when endpoint is missing?,400,401,409,404,4
55,junior,easy,Which method is usually used for login request?,GET,POST,DELETE,HEAD,2
55,junior,easy,Which method is usually used to replace user profile?,GET,POST,PUT,DELETE,3
55,junior,easy,Which method is usually used to update one field?,PUT,GET,PATCH,POST,3
55,junior,easy,What is endpoint?,database table,frontend page,API URL path,server log,3
55,junior,easy,What is query parameter used for commonly?,authentication only,filtering and pagination,file upload only,encryption only,2
55,junior,medium,Which URL is more RESTful for user 5 orders?,orders_users_5,getUserOrders5,users-orders-5-create,users/5/orders,4
55,junior,medium,Which is better REST resource naming?,verbs only,plural nouns,camelCase actions,random naming,2
55,junior,medium,Why avoid verbs in endpoint names?,verbs are faster,HTTP method already expresses action,verbs break JSON,verbs disable auth,2
55,junior,medium,What is pagination used for?,encrypt response,authenticate user,limit large result sets,delete records,3
55,junior,medium,What is filtering used for?,create resource,return subset of data,delete resource,hide server,2
55,junior,medium,What is sorting in API used for?,validate token,order response items,compress body,cache auth,2
55,junior,medium,What is versioning used for?,manage API changes,improve SQL only,replace auth only,hide endpoints,1
55,junior,medium,Which is common API versioning style?,random number in body,password versioning,v1 in path,database versioning,3
55,junior,medium,What does 304 indicate commonly?,bad request,created,no content,resource not modified,4
55,junior,medium,What is ETag used for?,encryption,cache validation,database join,file upload,2
55,junior,hard,Why should POST usually not be idempotent?,it always deletes data,repeating may create duplicates,it cannot send body,it skips auth,2
55,junior,hard,Why is PUT considered idempotent?,it cannot change data,it always returns 204,same repeated update keeps same final state,it never sends body,3
55,junior,hard,When is PATCH preferred over PUT?,full replacement,partial update,delete resource,fetch resource,2
55,junior,hard,Why use 429 status code?,resource deleted,auth success,server migrated,too many requests,4
55,junior,hard,What is rate limiting?,limit JSON size only,restrict request frequency,block GET only,reduce SQL columns,2
55,junior,medium,What is JWT?,encrypted database,password hash,token with header payload signature,file format,3
55,junior,medium,Where is JWT usually stored on client?,server memory,database only,file system,local storage or cookie,4
55,junior,medium,Which part of JWT contains user data?,header,signature,payload,token id,3
55,junior,medium,Which part ensures token integrity?,header,payload,signature,body,3
55,junior,medium,What is refresh token used for?,store user password,get new access token,encrypt request,validate SQL,2
55,junior,hard,Why should JWT not store sensitive data?,it is always encrypted,it is hidden from client,it is stored on server only,payload is base64 not encrypted,4
55,junior,hard,What happens when JWT expires?,server crashes,client must refresh token,user deleted,data cleared,2
55,junior,hard,Why use short lived access tokens?,increase DB speed,reduce JSON size,avoid cookies,reduce risk if leaked,4
55,junior,hard,Where should refresh token be stored securely?,local storage,http only cookie,url param,session id,2
55,junior,hard,What is token revocation?,create new token,extend expiry,invalidate token before expiry,compress token,3
55,mid,medium,What is CORS?,database policy,cross origin request policy,file policy,loop policy,2
55,mid,medium,Why does browser block cross origin requests?,performance reasons,storage limit,security reasons,syntax error,3
55,mid,medium,Which header enables CORS?,Content-Type,Authorization,Access-Control-Allow-Origin,Cache-Control,3
