skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
29,fresher,easy,Which storage engine is the default in MySQL 8.0?,MyISAM,Memory,CSV,InnoDB,4
29,fresher,easy,How do you see the structure of a table named 'Orders'?,SHOW Orders,SELECT Orders,DESCRIBE Orders,VIEW Orders,3
29,fresher,easy,Which command displays all databases in MySQL?,LIST DATABASES,SHOW DATABASES,GET DATABASES,DISPLAY DB,2
29,fresher,easy,What is the MySQL command-line escape character?,/,#,\, ,3
29,fresher,medium,How do you limit the number of rows returned to 10?,TOP 10,LIMIT 10,FETCH 10,ROWCOUNT 10,2
29,fresher,medium,Which function returns the current version of MySQL?,GET_VERSION(),SYS_VER(),VERSION(),DATABASE(),3
29,fresher,medium,How do you concatenate two strings in MySQL?,a + b,CONCAT(a b),a || b,a . b,2
29,fresher,medium,Which numeric type is best for exact currency values?,FLOAT,DOUBLE,INT,DECIMAL,4
29,fresher,hard,What is the result of SELECT '1' + 1 in MySQL?,11,2,Error,0,2
29,fresher,hard,Which command is used to log into MySQL from terminal?,login mysql,connect root,mysql start,mysql -u root -p,4
29,junior,easy,What does the AUTO_INCREMENT attribute do?,Sorts rows,Encrypts data,Generates unique IDs,Deletes old rows,3
29,junior,easy,Which storage engine does NOT support transactions?,InnoDB,MyISAM,Memory,NDB,2
29,junior,easy,How do you change a user's password in MySQL?,ALTER USER,CHANGE PASS,SET PASSWORD,Both 1 and 3,4
29,junior,medium,What is the difference between DELETE and TRUNCATE in MySQL?,Delete is row-by-row,Truncate resets Auto_Inc,Both 1 and 2,No difference,3
29,junior,medium,How do you add a column to an existing table?,UPDATE TABLE,MODIFY TABLE,ALTER TABLE,ADD COLUMN,3
29,junior,medium,Which command shows the performance profile of a query?,SHOW PROFILE,GET PLAN,ANALYZE,EXPLAIN,4
29,junior,medium,How do you select the first 5 characters of a string?,SUBSTR(str 5),LEFT(str 5),First(5),Take(5),2
29,junior,hard,What is a MySQL 'Trigger'?,Stored code on events,A hardware button,A type of join,A backup tool,1
29,junior,hard,Which command prevents others from reading a table during a task?,STOP ACCESS,FREEZE,LOCK TABLES,DISABLE,3
29,junior,hard,What is the purpose of the 'mysql' system database?,Stores web data,Stores user/privileges,Stores logs,Stores images,2
29,mid,easy,Which log file tracks all changes to the database?,Error log,General log,Binary log,Slow query log,3
29,mid,easy,How do you find the size of a MySQL database?,SHOW SIZE,CHECK DISK,Query information_schema,LIST SIZE,3
29,mid,medium,What is the benefit of a 'Covering Index' in MySQL?,Reads data from index only,Encrypts columns,Sorts tables,None,1
29,mid,medium,How do you perform a case-insensitive search in MySQL?,Use COLLATE,Use LIKE,Both 1 and 2,Use UPPER,3
