skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
50,fresher,easy,What is the time complexity to access an element in an array by index?,O(n),O(log n),O(1),O(n^2),3
50,fresher,easy,Which data structure follows the LIFO principle?,Stack,Queue,Linked List,Tree,1
50,fresher,easy,What is a linear data structure?,Tree,Graph,Hash Table,Array,4
50,fresher,easy,Which data structure is used to implement recursion?,Queue,Heap,Stack,Deque,3
50,fresher,medium,What is the main disadvantage of a static array?,Slow access,Fixed size,High memory,Hard to sort,2
50,fresher,medium,In a Singly Linked List what does the last node point to?,Head,NULL,Middle,Itself,2
50,fresher,medium,Which structure is best for First-Come-First-Served?,Stack,Priority Queue,Tree,Queue,4
50,fresher,medium,Search complexity in a balanced BST?,O(n),O(log n),O(1),O(n log n),2
50,fresher,hard,Max nodes at level i of a binary tree (root=0)?,2^i,i^2,2*i,2^(i-1),1
50,fresher,hard,Which structure is used in BFS of a graph?,Stack,Binary Tree,Queue,Array,3
50,junior,easy,What is a Circular Linked List?,No nodes,Last node to head,Two heads,None,2
50,junior,easy,Which data structure stores key-value pairs?,Linked List,Array,Stack,Hash Table,4
50,junior,medium,What is a Full Binary Tree?,0 or 2 children,Same level leaves,2 children always,None,1
50,junior,medium,Insertion complexity at start of Singly Linked List?,O(n),O(log n),O(1),O(n^2),3
50,junior,medium,What is a Deque?,Data entry queue,Double-ended queue,Digital queue,Deleted queue,2
50,junior,hard,Which sort uses Divide and Conquer?,Bubble Sort,Merge Sort,Insertion Sort,Selection Sort,2
50,junior,hard,What is the height of a NULL tree?,-1,0,1,Infinity,1
50,mid,easy,What is a Priority Queue?,By priority value,By arrival time,Sorted array,None,1
50,mid,easy,Structure for hierarchical relationships?,Array,Stack,Queue,Tree,4
50,mid,medium,What is the Load Factor in a Hash Table?,m/n,n/m (entries/buckets),n*m,n+m,2
50,mid,medium,Worst-case time complexity of QuickSort?,O(n log n),O(n),O(log n),O(n^2),4
50,mid,medium,In a Min-Heap where is the smallest element?,Last leaf,Middle,Root,Left child,3
50,mid,hard,What are Collisions in Hashing?,Empty slots,Large keys,Two keys same slot,None,3
50,mid,hard,What is an AVL Tree?,A heap,Self-balancing BST,A complete tree,None,2
50,mid,hard,Which BST traversal gives sorted order?,Pre-order,Post-order,In-order,Level-order,3
50,senior,easy,What is a Graph?,Rows and Columns,Nodes and Edges,Keys and Values,None,2
50,senior,medium,Difference between Adj. List and Adj. Matrix?,List uses more space,No difference,Matrix O(V^2) space,Matrix for trees,3
50,senior,medium,What is Dynamic Programming?,Subproblems,Faster code,More RAM,None,1
50,senior,medium,What is a Trie primarily used for?,Sorting numbers,Image storage,Autocomplete,None,3
50,senior,hard,What is a B-Tree primarily used for?,Small arrays,Databases/Files,Recursion,None,2
