skill_id,experience_level,difficulty,question,option1,option2,option3,option4,correct
31,fresher,easy,What is the primary data format used by MongoDB?,SQL,BSON,XML,CSV,2
31,fresher,easy,Which command is used to show all databases?,list databases,get dbs,show dbs,display dbs,3
31,fresher,easy,"What is a ""Collection"" in MongoDB equivalent to in SQL?",Row,Column,Database,Table,4
31,fresher,easy,Which command is used to insert a single document?,db.col.add(),db.col.insertOne(),db.col.insert(),db.col.create(),2
31,fresher,medium,What is the default unique identifier field in every document?,id,uuid,_id,guid,3
31,fresher,medium,How do you select all documents from a collection?,db.col.get(),db.col.all(),db.col.find(),db.col.select(),3
31,fresher,medium,"What does the ""limit()"" method do?",Restricts number of results,Filters fields,Sorts data,Deletes data,1
31,fresher,medium,"Which operator is used for ""greater than"" comparisons?",$greater,$gt,$more,$high,2
31,fresher,hard,What is BSON?,Basic JSON,Boolean JSON,Binary JSON,Buffered JSON,3
31,fresher,hard,How do you count the number of documents in a collection?,db.col.size(),db.col.countDocuments(),db.col.length(),db.col.total(),2
31,junior,easy,Which command is used to update a document?,db.col.update(),db.col.updateOne(),db.col.set(),Both 1 and 2,4
31,junior,easy,"What does the ""$set"" operator do?",Replaces the document,Deletes fields,Updates specific fields,Creates an index,3
31,junior,medium,"How do you sort results by ""age"" in ascending order?",sort({age: -1}),order({age: 1}),sort({age: 1}),arrange({age: 1}),3
31,junior,medium,Which operator matches values in an array?,$all,$in,$match,$array,2
31,junior,medium,What is the purpose of an Index in MongoDB?,Encrypt data,Improve query performance,Store files,Backup data,2
31,junior,hard,"What is an ""Upsert""?",Upload and Insert,Update and Sort,User Insert,Update or Insert if missing,4
31,junior,hard,How do you remove a single field from a document?,$remove,$unset,$delete,$pop,2
31,mongodb,easy,"What is a ""Replica Set""?",A type of index,A data backup tool,Group of nodes for redundancy,A sharding strategy,3
31,mid,easy,Which stage in aggregation is used to filter documents?,$filter,$where,$match,$find,3
31,mid,medium,"What is ""Sharding"" in MongoDB?",Vertical scaling,Data encryption,Data compression,Horizontal scaling/partitioning,4
31,mid,medium,Which aggregation stage is used to group documents?,$sum,$group,$collect,$combine,2
31,mid,medium,How do you create a TTL (Time-To-Live) index?,deleteAfter,timeToLive,expireAfterSeconds,autoRemove,3
31,mid,hard,"What is the ""Oplog"" used for?",Query logging,Replication,Error tracking,Authentication,2
31,mid,hard,"What is a ""Covered Query""?",Query satisfied by index only,Query on hidden fields,Encrypted query,None,1
31,mid,hard,How do you perform a left outer join in aggregation?,$join,$link,$lookup,$union,3
31,senior,easy,"What is ""GridFS"" used for?",Fast indexing,Web sockets,User auth,Storing large files >16MB,4
31,senior,medium,"What is the ""WiredTiger"" engine?",A backup tool,Default storage engine,A monitoring tool,An API,2
31,senior,medium,"What is ""Write Concern"" in MongoDB?",Level of acknowledgment for writes,Write speed,Write encryption,Write error log,1
31,senior,medium,How do you identify a slow query?,Database Profiler,Explain plan,Both 1 and 2,Oplog,3
31,senior,hard,"What is ""Causal Consistency""?",Data compression,Read-your-writes guarantee,Index sorting,None,2
31,senior,hard,"What is a ""Change Stream""?",A data backup,Real-time data change alerts,A migration tool,A query optimizer,2
31,senior,hard,How do you handle transactions in MongoDB?,db.begin(),db.lock(),Not supported,session.startTransaction(),4
31,senior,hard,"What is the ""Aggregation Pipeline""?",A backup route,A sharding tool,Framework for data transformation,None,3
31,senior,hard,"What is ""Read Preference""?",Choosing which node to read from,Sorting preference,Indexing preference,None,1
31,senior,hard,"What is a ""Partial Index""?",Index only for specific documents,A broken index,A small index,None,1
31,senior,hard,"How do you avoid ""Split Brain"" in replica sets?",Restarting nodes,Voting and Majority,Manual intervention,None,2
31,senior,hard,"What is the ""Primary"" node's role?",Handles only reads,Stores logs only,None,Handles all writes,4
31,senior,hard,"What is a ""Hedge Read""?",Reading from multiple nodes at once,Encrypted read,A slow read,None,1
31,senior,hard,"What is ""Schema Validation""?",Formatting JSON,Enforcing document structure,Deleting old data,None,2
31,senior,hard,How do you optimize a multi-key index?,Indexing large strings,Indexing NULLs,Indexing array fields,None,3
31,senior,hard,"What is the ""Election"" process?",Choosing a new Primary node,Voting for a shard,Deleting data,None,1
31,senior,hard,"What is ""Journaling""?",User activity log,Error log,Write-ahead logging for recovery,None,3
31,senior,hard,"What is the ""Bind IP"" setting?",Setting the port,Restricting network access,Setting the DB name,None,2
31,senior,hard,"What is ""Compound Index""?",Index on multiple fields,Index on multiple DBs,Encrypted index,None,1
31,senior,hard,"How do you perform ""Geospatial"" queries?",Using lat/long strings,Using regex,$near or $geoWithin,None,3
31,senior,hard,"What is ""Collation"" in MongoDB?",Language-specific string rules,Data compression,Database merging,None,1
31,senior,hard,"What is the purpose of ""mongodump""?",Performance monitor,Logical backup tool,Code editor,None,2
31,senior,hard,"What is ""In-Memory Storage Engine""?",A fast SSD,A cache tool,None,Stores data in RAM only,4
31,senior,hard,"How do you handle ""Large Document"" performance?",More RAM,More shards,Bucket pattern or Out-of-pattern,None,3
31,senior,hard,"What is the ""Aggregation Stage"" $unwind used for?",Compresses data,Deconstructs an array field,Sorts data,None,2
31,fresher,easy,What is the maximum size of a single BSON document?,8MB,32MB,64MB,16MB,4
31,fresher,easy,Which command is used to delete a database?,db.remove(),db.delete(),db.dropDatabase(),db.clear(),3
31,fresher,easy,How do you switch to a database named 'test'?,goto test,use test,switch test,select test,2
31,fresher,medium,Which method is used to update multiple documents at once?,db.col.updateMany(),db.col.update(),db.col.updateAll(),db.col.modify(),1
